Source,Destination,Avg Latency (ms),Min Latency (ms),Max Latency (ms),Source Lat,Source Lon,Dest Lat,Dest Lon
Amsterdam,Frankfurt,6.6,6.0,7.6,52.3676,4.9041,50.1109,8.6821
Amsterdam,Johannesburg,117.8,106.0,135.4,52.3676,4.9041,-26.2041,28.0473
Amsterdam,London,6.6,5.9,7.6,52.3676,4.9041,51.5074,-0.1278
Amsterdam,Los Angeles,117.0,105.3,134.5,52.3676,4.9041,33.9425,-118.4081
Amsterdam,New York,78.3,70.5,90.0,52.3676,4.9041,40.7128,-74.006
Amsterdam,Sao Paulo,127.6,114.8,146.7,52.3676,4.9041,-23.5505,-46.6333
Amsterdam,Singapore,136.1,122.5,156.6,52.3676,4.9041,1.3521,103.8198
Amsterdam,Sydney,213.0,191.7,245.0,52.3676,4.9041,-33.8688,151.2093
Amsterdam,Tokyo,121.1,109.0,139.3,52.3676,4.9041,35.6762,139.6503
Atlanta,Frankfurt,97.5,87.8,112.1,33.749,-84.388,50.1109,8.6821
Atlanta,Johannesburg,174.6,157.1,200.8,33.749,-84.388,-26.2041,28.0473
Atlanta,London,89.6,80.7,103.1,33.749,-84.388,51.5074,-0.1278
Atlanta,Los Angeles,44.1,39.7,50.7,33.749,-84.388,33.9425,-118.4081
Atlanta,New York,15.0,13.5,17.3,33.749,-84.388,40.7128,-74.006
Atlanta,Sao Paulo,99.0,89.1,113.8,33.749,-84.388,-23.5505,-46.6333
Atlanta,Singapore,205.2,184.7,236.0,33.749,-84.388,1.3521,103.8198
Atlanta,Sydney,191.8,172.6,220.6,33.749,-84.388,-33.8688,151.2093
Atlanta,Tokyo,143.0,128.7,164.5,33.749,-84.388,35.6762,139.6503
Bangalore,Frankfurt,97.6,87.8,112.2,12.9716,77.5946,50.1109,8.6821
Bangalore,Johannesburg,91.3,82.2,105.0,12.9716,77.5946,-26.2041,28.0473
Bangalore,London,105.4,94.9,121.3,12.9716,77.5946,51.5074,-0.1278
Bangalore,Los Angeles,186.6,168.0,214.6,12.9716,77.5946,33.9425,-118.4081
Bangalore,New York,172.1,154.9,197.9,12.9716,77.5946,40.7128,-74.006
Bangalore,Sao Paulo,180.6,162.5,207.6,12.9716,77.5946,-23.5505,-46.6333
Bangalore,Singapore,44.5,40.1,51.2,12.9716,77.5946,1.3521,103.8198
Bangalore,Sydney,121.9,109.7,140.1,12.9716,77.5946,-33.8688,151.2093
Bangalore,Tokyo,88.2,79.4,101.5,12.9716,77.5946,35.6762,139.6503
Chicago,Frankfurt,92.1,82.8,105.9,41.8781,-87.6298,50.1109,8.6821
Chicago,Johannesburg,179.8,161.8,206.8,41.8781,-87.6298,-26.2041,28.0473
Chicago,London,84.4,76.0,97.1,41.8781,-87.6298,51.5074,-0.1278
Chicago,Los Angeles,40.3,36.3,46.3,41.8781,-87.6298,33.9425,-118.4081
Chicago,New York,14.4,13.0,16.6,41.8781,-87.6298,40.7128,-74.006
Chicago,Sao Paulo,110.1,99.1,126.6,41.8781,-87.6298,-23.5505,-46.6333
Chicago,Singapore,193.4,174.1,222.4,41.8781,-87.6298,1.3521,103.8198
